"ontology/deathPlace_label", "country"
"Pomfret Connecticut | United States", "US"
"Tacoma Washington", "US"
"Liberia | Cape Palmas", "Liberia"
"New Haven Connecticut", "US"
"Princeton New Jersey | United States", "US"
"New York City", "US"
"Litchfield Connecticut", "US"
"Toronto | Canada", "Canada"
"Slovenia | Ljubljana", "Slovenia"
"Istanbul | Turkey", "Turkey"
"Connecticut | Greenwich Connecticut", "US"
"Chicago", "US"
"Paris", "France"
"Winnipeg | Manitoba", "Canada"
"Abilene Texas", "US"
"Whitewater Wisconsin", "US"
"Wisconsin | Monroe Wisconsin", "US"
"Queensland | Brisbane", "Australia"
"Big Stone Gap Virginia", "US"
"Queensland | Shire of Diamantina", "Australia"
"Manhattan | New York City | United States | New York", "US"
"Poughkeepsie New York | New York", "US"
"New York City | United States", "US"
"Texas | Galveston Texas | United States", "US"
"Manhattan | New York City | United States | New York", "US"
"Louisiana | New Orleans", "US"
"Minnesota | Minneapolis | Nicollet Island | Nicollett_Island_Minnesota", "US"
"Moscow | Russian Soviet Federative Socialist Republic", "Russia"
"Northallerton | Friarage_Hospital", "UK"
"Honolulu | United States", "US"
"Franklin New Hampshire", "US"
"Barcelona | Spain", "Spain"
"Colombia | Cundinamarca Department | Bogotá", "Colombia"
"Viceroyalty of New Granada | Bogotá | Free and Independent State of Cundinamarca", "Colombia"
"Frankfurt", "Germany"
"Chicago | Illinois | United States", "US"
"New York City", "US"
"Dundee | Scotland", "UK"
"Paris | France", "France"
"Virginia | Fairfax Virginia", "US"
"Boston", "US"
"Spain | Madrid", "Spain"
"Brazil | Rio de Janeiro | Rio de Janeiro (state) | Empire of Brazil", "Brazil"
"Bogotá | United States of Colombia | Cundinamarca State", "Colombia"
"Colombia | Cundinamarca Department | Anapoima | Gran Colombia", "Colombia"
"Barcelona | Spain", "Spain"
"León Guanajuato | Mexico", "Mexico"
"Slovenia | Ljubljana", "Slovenia"
"Salon-de-Provence | France", "France"
"Philippines | Ifugao | Banaue Rice Terraces", "Philippines"
"New South Wales | Australia", "Australia"
"New York City", "US"
"Spain | Madrid", "Spain"
"Berlin | German Empire", "Germany"
"Netherlands | The Hague", "Netherlands"
"Lisbon | Portugal", "Portugal"
"Texas | Kerr County Texas | Kerrville Texas", "US"
"New York City | New York", "US"
"Bainbridge Island Washington", "US"
"Los Angeles", "US"
"Louisiana | Baton Rouge Louisiana", "US"
"Arlington County Virginia | United States", "US"
"Mexico City | Mexico", "Mexico"
"Paris | France", "France"
"Locarno", "Switzerland"
"Washington D.C.", "US"
"Al-Raqqah | Syria | Syrian Desert", "Syria"
"Washington D.C. | United States", "US"
"Belmont Massachusetts", "US"
"India | Tamil Nadu | Chennai", "India"
"Brandenburg | Germany | Zeuthen", "Germany"
"Germany", "Germany"
"Germany | Hesse | Dreieich", "Germany"
"Berlin | East Germany", "Germany"
"Switzerland", "Switzerland"
"Kalar Iraq", "Iraq"
"Toronto", "Canada"
"United Kingdom", "UK"
"Louisiana | Baton Rouge Louisiana | United States", "US"
"France | Lyon", "France"
"Cairo | Egypt", "Egypt"
"India | Mumbai | Maharashtra", "India"
"Athens | Greece", "Greece"
"Bali | Indonesia", "Indonesia"
"Berlin | Germany", "Germany"
"Gothenburg | Sweden", "Sweden"
"Colombia | Bogotá", "Colombia"
"Poland | Warsaw", "Poland"
"Zacapa | Guatemala", "Guatemala"
"Paris | France", "France"
"Munich | West Germany", "Germany"
"Washington D.C.", "US"
"Wyoming | Laramie County Wyoming | Cheyenne Wyoming", "US"
"Washington D.C. | United States", "US"
"Sri Lanka | Colombo", "Sri Lanka"
"Norway", "Norway"
"Brazil | São Paulo", "Brazil"
"San Francisco", "US"
"Russia | Saratov", "Russia"
"New York City | New York", "US"
"Denver", "US"
"Washington D.C. | United States", "US"
"New York City | United States", "US"
"East Hampton (village) New York | United States | New York", "US"
"Antwerp", "Belgium"
"Guatemala City | Guatemala", "Guatemala"
"Nevada | Las Vegas Valley", "US"
"Washington D.C. | United States", "US"
"Nice | France", "France"
"Massachusetts | Boston", "US"
"Cambridgeshire | Trumpington", "UK"
"Antibes", "France"
"Sèvres", "France"
"Belgium | Brussels", "Belgium"
"Manhattan", "US"
"Belgium | Brussels", "Belgium"
"Kfar Saba | Israel", "Israel"
"Ottawa", "Canada"
"Switzerland | Bern", "Switzerland"
"New South Wales | Sydney", "Australia"
"California | Hollywood | United States", "US"
"Los Angeles", "US"
"Parli_Palakkad | Parli", "India"
"Washington D.C. | United States", "US"
"Houston | Texas", "US"
"Buenos Aires | Argentina", "Argentina"
"Chișinău", "Moldova"
"Brooklyn | New York", "US"
"Italy | Castiglione della Pescaia", "Italy"
"Panama", "Panama"
"Madrid", "Spain"
"New York City | United States | New York", "US"
"Colombia | Antioquia Department | Medellín", "Colombia"
"Spain | Cantabria | Torrelavega", "Spain"
"United Kingdom | Brighton | East Sussex | England", "UK"
"Manhattan", "US"
"Afghanistan | Kabul", "Afghanistan"
"Western Australia", "Australia"
"Stockholm | Sweden | Hammarby Sjöstad", "Sweden"
"Philippines | Metro Manila | Makati", "Philippines"
"Long Island | New York", "US"
"Kirribilli New South Wales", "Australia"
"Brooklyn | New York", "US"
"New Hampshire | Peterborough New Hampshire", "US"
"New York City | New York", "US"
"Hyderabad", "India"
"Brazil | São Paulo", "Brazil"
"Russian Empire | Saint Petersburg", "Russia"
"Russian Empire | Saint Petersburg", "Russia"
"India | Belgaum", "India"
"California | Los Angeles | United States", "US"
"Washington D.C. | United States", "US"
"Aix-les-Bains | France", "France"
"Manhattan | New York City | United States | New York", "US"
"India | Uttar Pradesh", "India"
"Budapest", "Hungary"
"California | Los Angeles | Los Angeles County California", "US"
"Delhi", "India"
"Montenegro | Serbia and Montenegro | Podgorica", "Montenegro"
"Russian Empire | Saint Petersburg", "Russia"
"Egypt", "Egypt"
"Paris | France", "France"
"Sri Lanka | Colombo", "Sri Lanka"
"Amagansett New York", "US"
"Pontiac Michigan", "US"
"Bethesda Maryland", "US"
"Sequim Washington | United States", "US"
"Laurel Maryland | United States", "US"
"Texas | Laredo Texas", "US"
"India | Delhi", "India"
"Spain | Madrid", "Spain"
"California | San Francisco | United States", "US"
"London | England", "UK"
"Manhattan | New York City", "US"
"Cardiff | Wales", "UK"
"New Jersey | Ridgewood New Jersey | United States", "US"
"San Juan Puerto Rico", "US"
"Oaxaca City | Mexico", "Mexico"
"Alicante | Spain", "Spain"
"Berlin | East Germany", "Germany"
"Karnataka | Ullal", "India"
"Lancashire | Aintree", "UK"
"Harlem | New York", "US"
"Maryland", "US"
"Hawaii | United States", "US"
"Texas | Smith County Texas | Tyler Texas | United States", "US"
"New York City | New York", "US"
"Havana | Cuba", "Cuba"
"Berlin | Germany", "Germany"
"Moscow | Russia", "Russia"
"Sweden | Boo Sweden", "Sweden"
"Cromwell Road", "UK"
"Pasadena California", "US"
"Berlin | Germany", "Germany"
"Louisiana | Shreveport Louisiana | Caddo Parish Louisiana", "US"
"Saffron Walden | Essex", "UK"
"Norfolk Virginia", "US"
"New York City | United States | New York", "US"
"Japan | Tokyo", "Japan"
"Paris", "France"
"Paris | France", "France"
"India | Karnataka | Bangalore", "India"
"Belgrade", "Serbia"
"Cairo | Egypt", "Egypt"
"New Hampshire", "US"
"Paraguay | Asunción", "Paraguay"
"Greece | Thessaloniki", "Greece"
"Puerto Rico | San Juan Puerto Rico", "US"
"Belgium | Brussels", "Belgium"
"Netherlands | Zaandam", "Netherlands"
"London", "UK"
"Texas | Hereford Texas | Deaf Smith County Texas", "US"
"Italy | Pavia", "Italy"
"Washington D.C. | United States", "US"
"London | England", "UK"
"Kansas | Phillipsburg Kansas", "US"
"Kingdom of Romania | Medgidia", "Romania"
"Los Angeles", "US"
"Tijuana | Mexico", "Mexico"
"Manhattan | New York City | United States | New York", "US"
"Lake Worth Florida | Florida | La_Beach_Florida", "US"
"Paris", "France"
"Minffordd | North Wales", "UK"
"Colombia | Cundinamarca Department | Bogotá", "Colombia"
"Louisiana | Baton Rouge Louisiana | East Baton Rouge Parish Louisiana | United States", "US"
"Spain | Madrid", "Spain"
"Meurthe-et-Moselle", "France"
"British Columbia | Tsawwassen", "Canada"
"Bergen County New Jersey", "US"
"Italy | Bari", "Italy"
"London | Notting Hill", "UK"
"Virginia | Blacksburg Virginia", "US"
"Texas | Hale County Texas | Plainview Texas", "US"
"Amsterdam | Netherlands", "Netherlands"
"London | England", "UK"
"New South Wales | Central Coast (New South Wales)", "Australia"
"Seattle | Washington (state)", "US"
"Chicago | Illinois | United States", "US"
"Jersey", "Jersey"
"Austria-Hungary | Budapest", "Hungary"
"Slovenia | Ljubljana", "Slovenia"
"Cairo | Egypt", "Egypt"
"Libya | Benghazi", "Libya"
"Isle of Man", "Isle of Man"
"New York", "US"
"Venice | Veneto | Kingdom of Italy", "Italy"
"Karachi | Pakistan", "Pakistan"
"Cairo", "Egypt"
"Queensland | Brisbane", "Australia"
"Catalonia | Spain | Puig_d'Olena", "Spain"

