person,personLabel,dob,dod,citizenshipLabel,placeOfDeathLabel,mannerOfDeathLabel,causeOfDeathLabel,killerLabel
http://www.wikidata.org/entity/Q130527331,Wafa Al-Udaini,1985-01-01T00:00:00Z,2024-09-30T00:00:00Z,Palestine,Deir al-Balah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124605133,Ismail al-Ghoul,1997-01-14T00:00:00Z,2024-07-31T00:00:00Z,Palestine,Al-Shati refugee camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q128211032,Rami al-Refee,,2024-07-31T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124605133,Ismail al-Ghoul,1997-01-14T00:00:00Z,2024-07-31T00:00:00Z,Palestine,Al-Shati refugee camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q126727797,Aydos Sadykov,1968-01-01T00:00:00Z,2024-07-02T00:00:00Z,Kazakhstan,Kyiv,,gunshot wound,
http://www.wikidata.org/entity/Q127043155,Juri Reetz,2000-01-01T00:00:00Z,2024-07-01T00:00:00Z,Germany,Falkenhagener Feld,,stabbing,
http://www.wikidata.org/entity/Q127043155,Juri Reetz,2000-01-01T00:00:00Z,2024-07-01T00:00:00Z,Germany,Falkenhagener Feld,,stabbing,
http://www.wikidata.org/entity/Q130294753,Amna Hamid,1990-01-01T00:00:00Z,2024-04-24T00:00:00Z,Palestine,Al-Shati refugee camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q111469300,Russell Bonner Bentley,1960-06-20T00:00:00Z,2024-04-08T00:00:00Z,United States,Donetsk,,,
http://www.wikidata.org/entity/Q111469300,Russell Bonner Bentley,1960-06-20T00:00:00Z,2024-04-08T00:00:00Z,Russia,Donetsk,,,
http://www.wikidata.org/entity/Q111469300,Russell Bonner Bentley,1960-06-20T00:00:00Z,2024-04-08T00:00:00Z,Donetsk People's Republic,Donetsk,,,
http://www.wikidata.org/entity/Q111469300,Russell Bonner Bentley,1960-06-20T00:00:00Z,2024-04-08T00:00:00Z,United States,Donetsk,,,
http://www.wikidata.org/entity/Q111469300,Russell Bonner Bentley,1960-06-20T00:00:00Z,2024-04-08T00:00:00Z,Russia,Donetsk,,,
http://www.wikidata.org/entity/Q111469300,Russell Bonner Bentley,1960-06-20T00:00:00Z,2024-04-08T00:00:00Z,Donetsk People's Republic,Donetsk,,,
http://www.wikidata.org/entity/Q124168400,Hamza al-Dahdouh,1996-07-10T00:00:00Z,2024-01-07T00:00:00Z,Palestine,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124168692,Mustafa Thuraya,1994-10-23T00:00:00Z,2024-01-07T00:00:00Z,Palestine,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124168692,Mustafa Thuraya,1994-10-23T00:00:00Z,2024-01-07T00:00:00Z,Palestine,Khan Yunis,,drone warfare,Israeli Air Force
http://www.wikidata.org/entity/Q124168692,Mustafa Thuraya,1994-10-23T00:00:00Z,2024-01-07T00:00:00Z,Palestine,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124168692,Mustafa Thuraya,1994-10-23T00:00:00Z,2024-01-07T00:00:00Z,Palestine,Khan Yunis,,drone warfare,Israeli Air Force
http://www.wikidata.org/entity/Q130577040,Q130577040,1988-01-01T00:00:00Z,2024-01-01T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124172825,Jabr Abu Hadros,,2023-12-29T00:00:00Z,,Nuseirat Camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124172850,Mohammad Khair al-Din,,2023-12-28T00:00:00Z,Palestine,Beit Lahia,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124173083,Ahmad Jamal Al Madhoun,,2023-12-24T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124174590,Mohamad Al-Iff,,2023-12-24T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124173073,Mohamed Naser Abu Huwaidi,,2023-12-23T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124170494,Adel Zoroub,,2023-12-19T00:00:00Z,Palestine,Rafah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124174890,Abdallah Alwan,,2023-12-18T00:00:00Z,Palestine,Jabalia,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124174377,Assem  Moussa,1989-06-29T00:00:00Z,2023-12-17T00:00:00Z,Palestine,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124174414,Haneen Kashtan,,2023-12-17T00:00:00Z,Palestine,Nuseirat Camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123853860,Samer Abu Daqqa,1978-11-17T00:00:00Z,2023-12-15T00:00:00Z,Belgium,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123853860,Samer Abu Daqqa,1978-11-17T00:00:00Z,2023-12-15T00:00:00Z,Palestine,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123784931,Abdel Kareem Odeh,,2023-12-13T00:00:00Z,Palestine,Nuseirat Camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123766496,Mohamed Abu Samra,,2023-12-09T00:00:00Z,Palestine,Gaza Strip,,bombardment,Israel Defense Forces
http://www.wikidata.org/entity/Q123766496,Mohamed Abu Samra,,2023-12-09T00:00:00Z,Palestine,Gaza Strip,,bombardment,Israel Defense Forces
http://www.wikidata.org/entity/Q124175107,Duaa Jabbour,,2023-12-09T00:00:00Z,Palestine,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123766495,Ola Atallah,1980-10-31T00:00:00Z,2023-12-09T00:00:00Z,Palestine,Al-Daraj,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124175107,Duaa Jabbour,,2023-12-09T00:00:00Z,Palestine,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765881,Saeed Al-Shorbaji,,2023-12-07T00:00:00Z,Palestine,Khan Yunis,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765879,Shima El-Gazzar,1997-01-01T00:00:00Z,2023-12-03T00:00:00Z,Palestine,Rafah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765880,Hassan Farajallah,,2023-12-03T00:00:00Z,Palestine,Gaza Strip,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765875,Adham Hassouna,,2023-12-01T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765876,Montaser Al-Sawaf,,2023-12-01T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765877,Marwan Al-Sawaf,,2023-12-01T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765878,Abdullah Darwish,,2023-12-01T00:00:00Z,Palestine,Rafah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765875,Adham Hassouna,,2023-12-01T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765874,Mostafa Bakeer,,2023-11-24T00:00:00Z,Palestine,Rafah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123766452,Amal Zahed,1996-09-16T00:00:00Z,2023-11-24T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765873,Mohamed Mouin Ayyash,,2023-11-23T00:00:00Z,Palestine,Nuseirat Camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765873,Mohamed Mouin Ayyash,,2023-11-23T00:00:00Z,Palestine,Nuseirat Camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765872,Mohamed Nabil Al-Zaq,,2023-11-22T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123766447,Assem Al-Barsh,,2023-11-22T00:00:00Z,Palestine,Gaza Strip,,shooting,Israel Defense Forces
http://www.wikidata.org/entity/Q123766447,Assem Al-Barsh,,2023-11-22T00:00:00Z,Palestine,Gaza Strip,,shooting,sniper
http://www.wikidata.org/entity/Q123511171,Farah Omar,1998-06-18T00:00:00Z,2023-11-21T00:00:00Z,Lebanon,Tayr Harfa,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123510336,Ayat Khadoura,1996-01-01T00:00:00Z,2023-11-21T00:00:00Z,Palestine,Beit Lahia,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123511171,Farah Omar,1998-06-18T00:00:00Z,2023-11-21T00:00:00Z,Lebanon,Tayr Harfa,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765882,Rabih Al Maamari,,2023-11-21T00:00:00Z,Lebanon,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123766440,Jamal Hanieh,,2023-11-21T00:00:00Z,Palestine,Gaza City,,bombardment,Israel Defense Forces
http://www.wikidata.org/entity/Q123766440,Jamal Hanieh,,2023-11-21T00:00:00Z,Palestine,Gaza City,,bombardment,Israel Defense Forces
http://www.wikidata.org/entity/Q123765871,Alaa Taher Al-Hassanat,,2023-11-20T00:00:00Z,Palestine,Gaza Strip,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123510336,Ayat Khadoura,1996-01-01T00:00:00Z,2023-11-20T00:00:00Z,Palestine,Beit Lahia,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765871,Alaa Taher Al-Hassanat,,2023-11-20T00:00:00Z,Palestine,Gaza Strip,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123502122,Belal Jadallah,1978-05-01T00:00:00Z,2023-11-19T00:00:00Z,Palestine,"Zeitoun, Gaza",,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123501601,Hassouneh Salim,1995-06-19T00:00:00Z,2023-11-18T00:00:00Z,Palestine,Bureij camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q6858059,Mostafa El Sawaf,1955-08-20T00:00:00Z,2023-11-18T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123501601,Hassouneh Salim,1995-06-19T00:00:00Z,2023-11-18T00:00:00Z,Palestine,Bureij camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765868,Amro Salah Abu Hayah,,2023-11-18T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765869,Sari Mansour,,2023-11-18T00:00:00Z,Palestine,Bureij camp,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765870,Abdelhalim Awad,,2023-11-18T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765865,Yaacoub Al-Barsh,,2023-11-13T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765866,Ahmed Fatima,,2023-11-13T00:00:00Z,Palestine,Gaza Strip,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765865,Yaacoub Al-Barsh,,2023-11-12T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765864,Ahmed Al-Qara,,2023-11-10T00:00:00Z,Palestine,"Khuza'a, Khan Yunis",,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765864,Ahmed Al-Qara,,2023-11-10T00:00:00Z,Palestine,"Khuza'a, Khan Yunis",,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765862,Mohamed Abu Hassira,,2023-11-07T00:00:00Z,Palestine,Gaza Strip,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765862,Mohamed Abu Hassira,,2023-11-07T00:00:00Z,Palestine,Gaza Strip,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765863,Yahya Abu Manih,,2023-11-07T00:00:00Z,Palestine,Gaza Strip,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765861,Mohamed Al Jaja,,2023-11-05T00:00:00Z,Palestine,"Nasser, Gaza",,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765860,Haitham Harara,,2023-11-03T00:00:00Z,Palestine,Rimal,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765858,Muhammad Abu Hatab,,2023-11-02T00:00:00Z,Palestine,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765857,Iyad Matar,,2023-11-02T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765858,Muhammad Abu Hatab,,2023-11-02T00:00:00Z,Palestine,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765859,Mohamad Al-Bayyari,,2023-11-02T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123580268,Majd Arandas,1994-03-29T00:00:00Z,2023-11-01T00:00:00Z,Palestine,Deir al-Balah Governorate,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765857,Iyad Matar,,2023-11-01T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765867,Mossab Ashour,,2023-11-01T00:00:00Z,Palestine,Nuseirat Camp,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765855,Majed Kashko,,2023-10-31T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765856,Imad Al-Wahidi,,2023-10-31T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765854,Nazmi Al-Nadim,,2023-10-30T00:00:00Z,Palestine,"Zeitoun, Gaza",,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765853,Yasser Abu Namous,,2023-10-27T00:00:00Z,Palestine,Khan Yunis,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765852,Duaa Sharaf,1991-01-01T00:00:00Z,2023-10-26T00:00:00Z,Palestine,Yarmouk Camp,,airstrike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765850,Ahmed Abu Mhadi,,2023-10-25T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765851,Jamal Al-Faqaawi,,2023-10-25T00:00:00Z,Palestine,Khan Yunis,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123766328,Zaher Al-Afghani,,2023-10-25T00:00:00Z,Palestine,Deir al-Balah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124694777,Salma Mukhaimer,1992-01-01T00:00:00Z,2023-10-25T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124694777,Salma Mukhaimer,1992-01-01T00:00:00Z,2023-10-25T00:00:00Z,Palestine,Rafah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124694777,Salma Mukhaimer,1992-01-01T00:00:00Z,2023-10-25T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124694777,Salma Mukhaimer,1992-01-01T00:00:00Z,2023-10-25T00:00:00Z,Palestine,Rafah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124694777,Salma Mukhaimer,1992-01-01T00:00:00Z,2023-10-24T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124694777,Salma Mukhaimer,1992-01-01T00:00:00Z,2023-10-24T00:00:00Z,Palestine,Rafah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124694777,Salma Mukhaimer,1992-01-01T00:00:00Z,2023-10-24T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q124694777,Salma Mukhaimer,1992-01-01T00:00:00Z,2023-10-24T00:00:00Z,Palestine,Rafah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765849,Mohammed Imad Labad,,2023-10-23T00:00:00Z,Palestine,Sheikh Radwan,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765848,Mohammed Abu Ali,,2023-10-20T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q125497969,Iman Al-Uqaili,1990-01-01T00:00:00Z,2023-10-20T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765847,Sameeh Al-Nady,,2023-10-18T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765845,Issam Bhar,,2023-10-17T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765846,Mohammad Balousha,,2023-10-17T00:00:00Z,Palestine,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765844,Abdulhadi Habib,,2023-10-16T00:00:00Z,Palestine,"Zeitoun, Gaza",,missile strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123046646,Issam Abdallah,1986-01-01T00:00:00Z,2023-10-13T00:00:00Z,Lebanon,Aalma ech Chaab,,bombardment,Israel Defense Forces
http://www.wikidata.org/entity/Q123765842,Husam Mubarak,,2023-10-13T00:00:00Z,,Gaza Strip,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123046646,Issam Abdallah,1986-01-01T00:00:00Z,2023-10-13T00:00:00Z,Lebanon,Aalma ech Chaab,,bombardment,Israel Defense Forces
http://www.wikidata.org/entity/Q123765841,Ahmed Shehab,,2023-10-12T00:00:00Z,Palestine,Jabalia,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765840,Mohamed Fayez Abu Matar,,2023-10-11T00:00:00Z,Palestine,Rafah,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765839,Saeed Al-Taweel,,2023-10-10T00:00:00Z,Palestine,Rimal,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765837,Hisham Alnwajha,,2023-10-10T00:00:00Z,Palestine,Rimal,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765838,Mohammed Sobh,,2023-10-10T00:00:00Z,Palestine,Rimal,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765839,Saeed Al-Taweel,,2023-10-10T00:00:00Z,Palestine,Rimal,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765843,Salam Mema,1990-01-01T00:00:00Z,2023-10-09T00:00:00Z,Palestine,Gaza Strip,,military strike,Israel Defense Forces
http://www.wikidata.org/entity/Q123765839,Saeed Al-Taweel,,2023-10-08T00:00:00Z,Palestine,Rimal,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765833,Assaad Shamlakh,,2023-10-08T00:00:00Z,Palestine,Sheikh Ijlin,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123765839,Saeed Al-Taweel,,2023-10-08T00:00:00Z,Palestine,Rimal,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123126530,Roy Edan,1980-08-28T00:00:00Z,2023-10-07T00:00:00Z,Israel,Kfar Aza,,,
http://www.wikidata.org/entity/Q123744371,Mohammad Al-Salhi,1995-01-01T00:00:00Z,2023-10-07T00:00:00Z,Palestine,Gaza Strip,,shooting,
http://www.wikidata.org/entity/Q123762671,Ibrahim Mohammad Lafi,,2023-10-07T00:00:00Z,Palestine,Gaza Strip,,shooting,
http://www.wikidata.org/entity/Q123744371,Mohammad Al-Salhi,1995-01-01T00:00:00Z,2023-10-07T00:00:00Z,Palestine,Gaza Strip,,shooting,
http://www.wikidata.org/entity/Q123762475,Mohammad Jarghoun,,2023-10-07T00:00:00Z,Palestine,Rafah,,shooting,
http://www.wikidata.org/entity/Q123762671,Ibrahim Mohammad Lafi,,2023-10-07T00:00:00Z,Palestine,Gaza Strip,,shooting,
http://www.wikidata.org/entity/Q123765883,Shai Regev,,2023-10-07T00:00:00Z,Israel,Gaza Strip,,terrorist attack,Hamas
http://www.wikidata.org/entity/Q123765884,Ayelet Arnin,,2023-10-07T00:00:00Z,United States,Gaza Strip,,terrorist attack,Hamas
http://www.wikidata.org/entity/Q123765884,Ayelet Arnin,,2023-10-07T00:00:00Z,Israel,Gaza Strip,,terrorist attack,Hamas
http://www.wikidata.org/entity/Q123126530,Roy Edan,1980-08-28T00:00:00Z,2023-10-07T00:00:00Z,Israel,Kfar Aza,,,
http://www.wikidata.org/entity/Q122920088,Josh Kruger,1984-01-01T00:00:00Z,2023-10-02T00:00:00Z,United States,Philadelphia,,gunshot wound,
http://www.wikidata.org/entity/Q55547400,Fernando Villavicencio,1963-10-11T00:00:00Z,2023-08-09T00:00:00Z,Ecuador,Quito,,gunshot wound,
http://www.wikidata.org/entity/Q111433188,Vladlen Tatarsky,1982-04-25T00:00:00Z,2023-04-02T00:00:00Z,Russia,Saint Petersburg,,bomb attack,
http://www.wikidata.org/entity/Q111433188,Vladlen Tatarsky,1982-04-25T00:00:00Z,2023-04-02T00:00:00Z,Ukraine,Saint Petersburg,,bomb attack,
http://www.wikidata.org/entity/Q111433188,Vladlen Tatarsky,1982-04-25T00:00:00Z,2023-04-02T00:00:00Z,Soviet Union,Saint Petersburg,,bomb attack,
http://www.wikidata.org/entity/Q116879707,Dylan Lyons,1998-03-01T00:00:00Z,2023-02-22T00:00:00Z,United States,,,,
http://www.wikidata.org/entity/Q116297193,Martinez Zogo,1972-09-29T00:00:00Z,2023-01-22T00:00:00Z,Cameroon,Yaoundé,,deliberate murder,
http://www.wikidata.org/entity/Q130580932,Adʹham Ḥassūnah,,2023-01-01T00:00:00Z,Palestine,Gaza City,,Israeli Air Force,
http://www.wikidata.org/entity/Q135480119,Adán Linares Silverio,,2022-11-05T00:00:00Z,Mexico,Chilpancingo de los Bravo Municipality,,,
http://www.wikidata.org/entity/Q135480120,Moisés Cuapipistenco,,2022-11-05T00:00:00Z,Mexico,Chilpancingo de los Bravo Municipality,,,
http://www.wikidata.org/entity/Q135480121,Guillermo Hilario Morales,,2022-11-05T00:00:00Z,Mexico,Chilpancingo de los Bravo Municipality,,,
http://www.wikidata.org/entity/Q117803243,Rafael Moreno,1985-01-01T00:00:00Z,2022-10-16T00:00:00Z,Colombia,Montelíbano,,gunshot wound,
http://www.wikidata.org/entity/Q117803243,Rafael Moreno,1985-01-01T00:00:00Z,2022-10-16T00:00:00Z,Colombia,Montelíbano,,gunshot wound,
http://www.wikidata.org/entity/Q113710990,Jeff German,1953-08-23T00:00:00Z,2022-09-03T00:00:00Z,United States,Las Vegas Valley,,,Robert Telles
http://www.wikidata.org/entity/Q113710990,Jeff German,1953-08-23T00:00:00Z,2022-09-03T00:00:00Z,United States,Las Vegas Valley,,,Robert Telles
http://www.wikidata.org/entity/Q113710990,Jeff German,1953-08-23T00:00:00Z,2022-09-03T00:00:00Z,United States,Las Vegas Valley,,,Robert Telles
http://www.wikidata.org/entity/Q130213300,Q130213300,,2022-08-28T00:00:00Z,,Kifri,,,
http://www.wikidata.org/entity/Q113568088,Daria Dugina,1992-12-15T00:00:00Z,2022-08-20T00:00:00Z,Russia,Bolshie Vyazyomy,,car bombing,
http://www.wikidata.org/entity/Q113568088,Daria Dugina,1992-12-15T00:00:00Z,2022-08-20T00:00:00Z,Russia,Bolshie Vyazyomy,,car bombing,
http://www.wikidata.org/entity/Q135480089,Antonio de la Cruz,,2022-06-29T00:00:00Z,Mexico,Ciudad Victoria,,,
http://www.wikidata.org/entity/Q133020398,Shaimaa Gamal,1980-01-30T00:00:00Z,2022-06-20T00:00:00Z,Egypt,Markaz al Badrashayn,,shot to the head,Q135911136
http://www.wikidata.org/entity/Q133020398,Shaimaa Gamal,1980-01-30T00:00:00Z,2022-06-20T00:00:00Z,Egypt,Markaz al Badrashayn,,shot to the head,Q135911136
http://www.wikidata.org/entity/Q12219365,Shireen Abu Akleh,1971-04-03T00:00:00Z,2022-05-11T00:00:00Z,United States,Jenin,,gunshot wound,Israel Defense Forces
http://www.wikidata.org/entity/Q12219365,Shireen Abu Akleh,1971-04-03T00:00:00Z,2022-05-11T00:00:00Z,Palestine,Jenin,,gunshot wound,Israel Defense Forces
http://www.wikidata.org/entity/Q12219365,Shireen Abu Akleh,1971-04-03T00:00:00Z,2022-05-11T00:00:00Z,United States,Jenin,,gunshot wound,Israel Defense Forces
http://www.wikidata.org/entity/Q12219365,Shireen Abu Akleh,1971-04-03T00:00:00Z,2022-05-11T00:00:00Z,Palestine,Jenin,,gunshot wound,Israel Defense Forces
http://www.wikidata.org/entity/Q12219365,Shireen Abu Akleh,1971-04-03T00:00:00Z,2022-05-11T00:00:00Z,United States,Jenin,,gunshot wound,Israel Defense Forces
