http://purl.org/dc/elements/1.1/description,http://www.georss.org/georss/point,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type_label,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso_label,http://www.w3.org/2002/07/owl#differentFrom,http://www.w3.org/2002/07/owl#differentFrom_label,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,ontology/activeYears,ontology/activeYearsEndDate,ontology/activeYearsEndYear,ontology/activeYearsStartDate,ontology/activeYearsStartYear,ontology/alias,ontology/allegiance,ontology/almaMater,ontology/almaMater_label,ontology/appointer,ontology/appointer_label,ontology/associate,ontology/associate_label,ontology/associatedBand,ontology/associatedBand_label,ontology/associatedMusicalArtist,ontology/associatedMusicalArtist_label,ontology/award,ontology/award_label,ontology/background,ontology/battle,ontology/battle_label,ontology/birthDate,ontology/birthName,ontology/birthPlace,ontology/birthPlace_label,ontology/birthYear,ontology/board,ontology/board_label,ontology/bodyDiscovered,ontology/bodyDiscovered_label,ontology/chancellor,ontology/chancellor_label,ontology/child,ontology/child_label,ontology/citizenship,ontology/citizenship_label,ontology/committee,ontology/country,ontology/country_label,ontology/creator,ontology/creator_label,ontology/deathCause,ontology/deathCause_label,ontology/deathDate,ontology/deathPlace,ontology/deathPlace_label,ontology/deathYear,ontology/deputy,ontology/deputy_label,ontology/education,ontology/education_label,ontology/electionMajority,ontology/employer,ontology/employer_label,ontology/ethnicity,ontology/ethnicity_label,ontology/firstAppearance,ontology/gender,ontology/gender_label,ontology/genre,ontology/genre_label,ontology/governor,ontology/governorGeneral,ontology/governorGeneral_label,ontology/governor_label,ontology/height,ontology/hometown,ontology/hometown_label,ontology/honours,ontology/honours_label,ontology/imdbId,ontology/influenced,ontology/influencedBy,ontology/influencedBy_label,ontology/influenced_label,ontology/instrument,ontology/instrument_label,ontology/knownFor,ontology/knownFor_label,ontology/language,ontology/language_label,ontology/lastAppearance,ontology/lastAppearance_label,ontology/lieutenant,ontology/lieutenant_label,ontology/militaryBranch,ontology/militaryBranch_label,ontology/militaryCommand,ontology/militaryRank,ontology/militaryRank_label,ontology/militaryUnit,ontology/militaryUnit_label,ontology/monarch,ontology/monarch_label,ontology/movement,ontology/movement_label,ontology/nationality,ontology/nationality_label,ontology/networth,ontology/notableWork,ontology/notableWork_label,ontology/occupation,ontology/occupation_label,ontology/office,ontology/opponent,ontology/opponent_label,ontology/orderInOffice,ontology/otherParty,ontology/otherParty_label,ontology/parent,ontology/parent_label,ontology/partner,ontology/partner_label,ontology/party,ontology/party_label,ontology/personFunction,ontology/personFunction_label,ontology/portfolio,ontology/portrayer,ontology/portrayer_label,ontology/predecessor,ontology/predecessor_label,ontology/president,ontology/president_label,ontology/primeMinister,ontology/primeMinister_label,ontology/profession,ontology/profession_label,ontology/pseudonym,ontology/race,ontology/raceHorse,ontology/raceHorse_label,ontology/race_label,ontology/recordLabel,ontology/recordLabel_label,ontology/region,ontology/region_label,ontology/relation,ontology/relation_label,ontology/relative,ontology/relative_label,ontology/religion,ontology/religion_label,ontology/residence,ontology/residence_label,ontology/restingPlace,ontology/restingPlacePosition,ontology/restingPlace_label,ontology/salary,ontology/school,ontology/school_label,ontology/seniority,ontology/series,ontology/series_label,ontology/serviceEndYear,ontology/serviceStartYear,ontology/signature,ontology/soundRecording,ontology/soundRecording_label,ontology/species,ontology/species_label,ontology/spouse,ontology/spouse_label,ontology/stateOfOrigin,ontology/stateOfOrigin_label,ontology/successor,ontology/successor_label,ontology/termPeriod,ontology/termPeriod_label,ontology/timeInSpace,ontology/title,ontology/type,ontology/type_label,ontology/viafId,ontology/vicePresident,ontology/vicePresident_label,ontology/voice,ontology/voice_label,ontology/weight,ontology/wins,title
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Rishab Aiyer Ghosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Rishab_Aiyer_Ghosh__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Computer_scientist,Rishab_Aiyer_Ghosh__1 | Journalist | Computer scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rishab_Aiyer_Ghosh
journalist radio news presenter,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Ritula Shah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/University_of_Warwick,University of Warwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Ritula_Shah__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Presenter,Ritula_Shah__1 | Journalist | Presenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritula_Shah
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,R. Sarathkumar,,,,,,,,,,,1986,,,"http://dbpedia.org/resource/The_New_College,_Chennai",The New College Chennai,,,,,,,,,,,,,,1954-07-14,Ramanathan Sarathkumar,http://dbpedia.org/resource/New_Delhi,New Delhi,1954,,,,,,,http://dbpedia.org/resource/Varalaxmi_Sarathkumar,Varalaxmi Sarathkumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/R._Sarathkumar__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Politician | http://dbpedia.org/resource/Actor,R._Sarathkumar__1 | Journalist | Politician | Actor,,,,,,,,,,,http://dbpedia.org/resource/All_India_Samathuva_Makkal_Katchi,All India Samathuva Makkal Katchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Tamil_Nadu | http://dbpedia.org/resource/Chennai,Tamil Nadu | Chennai,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Raadhika_Sarathkumar,Raadhika Sarathkumar,,,,,,,,,,,,,,,,,,R._Sarathkumar
Turkish journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Rabia Kazan,,,,,,,,,,,1996,Rabia Kazan Licursi,,,,,,,,,,,,,,,,,1976-06-25,Rabia Özden Kazan,http://dbpedia.org/resource/Malatya | http://dbpedia.org/resource/Turkey,Malatya | Turkey,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Turkey,Turkey,,,,http://dbpedia.org/resource/Rabia_Kazan__1 | http://dbpedia.org/resource/Journalist,Rabia_Kazan__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Turkey,Turkey,,,,,,,,,,,,,,,,Rabia_Kazan
American journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Journalist | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q1930187,owl#Thing | person | journalist | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q1930187,Rachel Elson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,http://dbpedia.org/resource/Rachel_Elson__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Editing,Rachel_Elson__1 | Journalist | Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel_Elson
British writer,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Rachel Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892-10-17,Rachel Ethelreda Ferguson,http://dbpedia.org/resource/Hampton_Wick,Hampton Wick,1892,,,,,,,,,,,,,,,,,,1991-01-01,http://dbpedia.org/resource/Kensington,Kensington,1957,,,http://dbpedia.org/resource/Royal_Academy_of_Dramatic_Art,Royal Academy of Dramatic Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Journalist,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel_Ferguson
Television presenter,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Rachel Horne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel Horne,http://dbpedia.org/resource/County_Fermanagh | http://dbpedia.org/resource/Northern_Ireland,County Fermanagh | Northern Ireland,0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Rachel_Horne__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Television_presenter,Rachel_Horne__1 | Journalist | Television presenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel_Horne
English journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Rachel Schofield,,,,,,,,,,,,,,http://dbpedia.org/resource/Durham_University,Durham University,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Winchester | http://dbpedia.org/resource/England | http://dbpedia.org/resource/Hampshire,Winchester | England | Hampshire,1972 | 1976,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Exeter,Exeter,,http://dbpedia.org/resource/BBC,BBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Rachel_Schofield__1 | http://dbpedia.org/resource/Journalist,Rachel_Schofield__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/List_of_sub_regions_used_in_the_London_Plan,List of sub regions used in the London Plan,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Jeremy_Vine,Jeremy Vine,,,,,,,,,,,,,,,,,,Rachel_Schofield
Brazilian journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Rachel Sheherazade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973-09-05,Rachel Sheherazade Barbosa,http://dbpedia.org/resource/Brazil | http://dbpedia.org/resource/Paraíba | http://dbpedia.org/resource/João_Pessoa,Brazil | Paraíba | João Pessoa,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Rachel_Sheherazade__1 | http://dbpedia.org/resource/Journalist,Rachel_Sheherazade__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Protestantism,Protestantism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel_Sheherazade
Irish sports presenter and equestrian,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Rachel Wyse,,,http://dbpedia.org/resource/Rachel_Weisz,Rachel Weisz,,,,,,,,,,,,,,,,,,,,,,,,,1985-01-22,,http://dbpedia.org/resource/Dublin,Dublin,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Irish_people,Irish people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Rachel_Wyse__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Presenter | http://dbpedia.org/resource/News_presenter,Rachel_Wyse__1 | Journalist | Presenter | News presenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel_Wyse
Pakistani writer,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Raees Warsi,,,,,,,,,,,,,,http://dbpedia.org/resource/University_of_Karachi,University of Karachi,,,,,,,,,,,,,,1963-03-01,,http://dbpedia.org/resource/Karachi | http://dbpedia.org/resource/Pakistan | http://dbpedia.org/resource/Sindh,Karachi | Pakistan | Sindh,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Ghazal | http://dbpedia.org/resource/Nazm,Ghazal | Nazm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/News_presenter | http://dbpedia.org/resource/Urdu_poetry,Journalist | News presenter | Urdu poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raees_Warsi
American author,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Rafael Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958-05-24,,http://dbpedia.org/resource/Maryland | http://dbpedia.org/resource/United_States | http://dbpedia.org/resource/Baltimore,Maryland | United States | Baltimore,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Screenwriter,Journalist | Screenwriter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael_Alvarez
Actor,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Rafael Cortez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976-10-25,Rafael de Faria Cortez,http://dbpedia.org/resource/Brazil | http://dbpedia.org/resource/São_Paulo_(state) | http://dbpedia.org/resource/São_Paulo,Brazil | São Paulo (state) | São Paulo,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035242,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Brazil,Brazil,,,,http://dbpedia.org/resource/Rafael_Cortez__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Comedian | http://dbpedia.org/resource/Composer | http://dbpedia.org/resource/Actor,Rafael_Cortez__1 | Journalist | Comedian | Composer | Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Brazil,Brazil,,,,,,,,,,,,,,,,Rafael_Cortez
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Rafail Zotov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Рафаил Михайлович Зотов,http://dbpedia.org/resource/Pskov | http://dbpedia.org/resource/Russian_Empire,Pskov | Russian Empire,1795,,,,,,,,,,,,,,,,,,1871-09-29,"http://dbpedia.org/resource/Russian_Empire | http://dbpedia.org/resource/Pavlovsk,_Saint_Petersburg",Russian Empire | Pavlovsk Saint Petersburg,1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Rafail_Zotov__1 | http://dbpedia.org/resource/Playwright | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Translation | http://dbpedia.org/resource/Novelist,Rafail_Zotov__1 | Playwright | Journalist | Translation | Novelist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafail_Zotov
Filipino journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Raffy Tima,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,1975-01-07,Rufino Tima Jr.,http://dbpedia.org/resource/Philippines,Philippines,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Filipinos,Filipinos,,,,http://dbpedia.org/resource/Raffy_Tima__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Presenter | http://dbpedia.org/resource/Television_producer,Raffy_Tima__1 | Journalist | Presenter | Television producer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Mariz_Umali,Mariz_Umali,http://dbpedia.org/resource/Filipinos,Filipinos,,,,,,,,,,,,,,,,Raffy_Tima
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Rafig Hashimov,,,,,,,,,,,1987,,,,,,,,,,,,,,,,,,1966-08-11,Rafiq Həşimov,"http://dbpedia.org/resource/Azerbaijan | http://dbpedia.org/resource/Ucar,_Azerbaijan",Azerbaijan | Ucar Azerbaijan,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Rafig_Hashimov__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Screenwriter | http://dbpedia.org/resource/Film_director | http://dbpedia.org/resource/Public_speaking,Rafig_Hashimov__1 | Journalist | Screenwriter | Film director | Public speaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafig_Hashimov
Canadian journalist and activist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Raheel Raza,http://dbpedia.org/resource/Park51,Park51,,,,,,,,,,,,http://dbpedia.org/resource/University_of_Karachi,University of Karachi,,,,,,,,,http://dbpedia.org/resource/Constance_Hamilton,Constance Hamilton,,,,2010-06-10,,,,1949 | 2010,http://dbpedia.org/resource/Muslim_Canadian_Congress,Muslim Canadian Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Raheel_Raza__1 | http://dbpedia.org/resource/Author | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Public_speaking,Raheel_Raza__1 | Author | Journalist | Public speaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Islam,Islam,http://dbpedia.org/resource/Toronto,Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raheel_Raza
Palestinian journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Raja El-Issa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Jaffa,Jaffa,1922,,,,,,,,,,,,,,,,,,2008-12-01,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Raja_El-Issa__1 | http://dbpedia.org/resource/Journalist,Raja_El-Issa__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raja_El-Issa
